team_id,start_bucket,n_start,pct_start
1,<= 0,4,0.10256410256410256
1,1-5,7,0.1794871794871795
1,6-10,5,0.1282051282051282
1,11-15,6,0.15384615384615385
1,16-20,6,0.15384615384615385
1,21-25,7,0.1794871794871795
1,26-30,4,0.10256410256410256
1,> 30,0,0
2,<= 0,7,0.17073170731707318
2,1-5,7,0.17073170731707318
2,6-10,5,0.12195121951219512
2,11-15,4,0.0975609756097561
2,16-20,4,0.0975609756097561
2,21-25,9,0.21951219512195122
2,26-30,2,0.04878048780487805
2,> 30,3,0.07317073170731707
4,<= 0,3,0.075
4,1-5,6,0.15
4,6-10,8,0.2
4,11-15,4,0.1
4,16-20,4,0.1
4,21-25,8,0.2
4,26-30,6,0.15
4,> 30,1,0.025
5,<= 0,4,0.1
5,1-5,7,0.175
5,6-10,7,0.175
5,11-15,6,0.15
5,16-20,4,0.1
5,21-25,8,0.2
5,26-30,3,0.075
5,> 30,1,0.025
6,<= 0,2,0.04878048780487805
6,1-5,6,0.14634146341463414
6,6-10,5,0.12195121951219512
6,11-15,10,0.24390243902439024
6,16-20,3,0.07317073170731707
6,21-25,5,0.12195121951219512
6,26-30,3,0.07317073170731707
6,> 30,7,0.17073170731707318
7,<= 0,3,0.075
7,1-5,4,0.1
7,6-10,6,0.15
7,11-15,9,0.225
7,16-20,6,0.15
7,21-25,8,0.2
7,26-30,3,0.075
7,> 30,1,0.025
8,<= 0,5,0.125
8,1-5,5,0.125
8,6-10,9,0.225
8,11-15,4,0.1
8,16-20,8,0.2
8,21-25,6,0.15
8,26-30,3,0.075
8,> 30,0,0
9,<= 0,3,0.075
9,1-5,8,0.2
9,6-10,6,0.15
9,11-15,6,0.15
9,16-20,6,0.15
9,21-25,4,0.1
9,26-30,5,0.125
9,> 30,2,0.05
11,<= 0,2,0.04878048780487805
11,1-5,1,0.024390243902439025
11,6-10,11,0.2682926829268293
11,11-15,6,0.14634146341463414
11,16-20,5,0.12195121951219512
11,21-25,7,0.17073170731707318
11,26-30,6,0.14634146341463414
11,> 30,3,0.07317073170731707
12,<= 0,6,0.15384615384615385
12,1-5,2,0.05128205128205128
12,6-10,6,0.15384615384615385
12,11-15,3,0.07692307692307693
12,16-20,8,0.20512820512820512
12,21-25,8,0.20512820512820512
12,26-30,5,0.1282051282051282
12,> 30,1,0.02564102564102564
13,<= 0,10,0.2631578947368421
13,1-5,3,0.07894736842105263
13,6-10,4,0.10526315789473684
13,11-15,6,0.15789473684210525
13,16-20,4,0.10526315789473684
13,21-25,6,0.15789473684210525
13,26-30,5,0.13157894736842105
13,> 30,0,0
14,<= 0,4,0.0975609756097561
14,1-5,8,0.1951219512195122
14,6-10,8,0.1951219512195122
14,11-15,6,0.14634146341463414
14,16-20,8,0.1951219512195122
14,21-25,3,0.07317073170731707
14,26-30,3,0.07317073170731707
14,> 30,1,0.024390243902439025
