player,player_id,team_id,stint,start,end,rp_eligible,round_id,pick_id,team_from,teams_involved,trade_id,transaction_type,n_points,n_games,w_bat,w_sp,w_rp,ppg
Aaron Judge,33192,13,0,1,85,FALSE,1,2,NA,NA,NA,Draft,202,59,1,0,0,3.4237288135593222
Aaron Nola,33709,13,0,1,85,FALSE,14,167,NA,NA,NA,Draft,113.5,13,0,1,0,8.73076923076923
Abner Uribe,4917865,9,0,1,30,TRUE,22,253,NA,NA,NA,Draft,30.5,11,0,0,1,2.772727272727273
Addison Barger,4997589,12,0,1,10,FALSE,19,219,NA,NA,NA,Draft,1,4,1,0,0,0.25
Adley Rutschman,42178,13,0,1,85,FALSE,13,146,NA,NA,NA,Draft,148,49,1,0,0,3.020408163265306
Adolis Garcia,35537,7,0,1,19,FALSE,19,227,NA,NA,NA,Draft,24,15,1,0,0,1.6
Agustin Ramirez,5132014,7,0,1,63,FALSE,15,179,NA,NA,NA,Draft,61,31,1,0,0,1.967741935483871
Alec Bohm,41169,13,0,1,20,FALSE,NA,NA,NA,NA,NA,Free Agent,23.5,8,1,0,0,2.9375
Alec Burleson,4345070,13,0,1,85,FALSE,12,143,NA,NA,NA,Draft,217,69,1,0,0,3.1449275362318843
Alejandro Kirk,42081,8,0,1,70,FALSE,22,255,NA,NA,NA,Draft,0,0,1,0,0,0
Alex Bregman,34886,1,0,1,85,FALSE,6,64,NA,NA,NA,Draft,159,73,1,0,0,2.1780821917808217
Andres Munoz,40939,14,0,1,42,TRUE,17,198,NA,NA,NA,Draft,46.5,15,0,0,1,3.1
Andrew Abbott,4414528,11,0,1,31,FALSE,12,138,NA,NA,NA,Draft,34,4,0,1,0,8.5
Andrew Painter,4872683,14,0,1,31,FALSE,25,289,NA,NA,NA,Draft,10.5,3,0,1,0,3.5
Andrew Vaughn,42394,2,0,1,4,FALSE,19,224,NA,NA,NA,Draft,2,1,1,0,0,2
Andy Pages,42468,5,0,1,85,FALSE,13,149,NA,NA,NA,Draft,231,73,1,0,0,3.164383561643836
Aroldis Chapman,30442,1,0,1,85,TRUE,17,201,NA,NA,NA,Draft,114.5,21,0,0,1,5.4523809523809526
Austin Riley,34982,6,0,1,29,FALSE,7,73,NA,NA,NA,Draft,61.5,25,1,0,0,2.46
Austin Wells,4683349,11,0,1,17,FALSE,23,271,NA,NA,NA,Draft,5,11,1,0,0,0.45454545454545453
Ben Rice,5016968,11,0,1,85,FALSE,8,90,NA,NA,NA,Draft,255.5,66,1,0,0,3.871212121212121
Blake Snell,33748,14,0,1,85,FALSE,9,102,NA,NA,NA,Draft,0,0,0,1,0,0
Bo Bichette,38904,9,0,1,85,FALSE,6,61,NA,NA,NA,Draft,166.5,73,1,0,0,2.280821917808219
Bobby Witt Jr.,42403,5,0,1,85,FALSE,1,5,NA,NA,NA,Draft,221.5,74,1,0,0,2.9932432432432434
Brady Singer,41172,7,0,1,10,FALSE,21,251,NA,NA,NA,Draft,13.5,2,0,1,0,6.75
Brandon Lowe,39961,7,0,1,85,FALSE,14,158,NA,NA,NA,Draft,213,68,1,0,0,3.1323529411764706
