team_home,team_away,day_of_matchup,days_left,score_diff,starts_left_home,starts_left_away,start_advantage,win_prob,win_prob_lr
All That is Wright,Bibee-di-Bobbidi-Boo,0,7,0,8,8,0,0.568772350376043,0.49812692435459077
All That is Wright,Bibee-di-Bobbidi-Boo,1,6,-11.5,7,7,0,0.4497972963573674,0.360266565443148
All That is Wright,Bibee-di-Bobbidi-Boo,2,5,-16.5,5,4,1,0.48356015733279656,0.4342393900651668
Top Gunner: Henderson,Ketel Bells,0,7,0,8,8,0,0.5191527175899124,0.49812692435459077
Top Gunner: Henderson,Ketel Bells,1,6,-25,8,8,0,0.33883823558072323,0.22452624660631387
Top Gunner: Henderson,Ketel Bells,2,5,-29.5,6,5,1,0.3831225143091567,0.31628929884070545
The West Bank Occupiers,Book of Boba Chette,0,7,0,8,8,0,0.6127390189196898,0.49812692435459077
The West Bank Occupiers,Book of Boba Chette,1,6,16,7,8,-1,0.6133856019802201,0.5582500504589616
The West Bank Occupiers,Book of Boba Chette,2,5,33,5,6,-1,0.7146220010949296,0.7101954432493056
The Novaks,Tucker? I hardly know her,0,7,0,8,8,0,0.6896177943846824,0.49812692435459077
The Novaks,Tucker? I hardly know her,1,6,45,6,8,-2,0.8194695450659613,0.7236161121706262
The Novaks,Tucker? I hardly know her,2,5,22,6,7,-1,0.7497165891537176,0.6148642167494228
Blasphemous Hot Takes,The Traveling Secretaries,0,7,0,8,8,0,0.3558121605193516,0.49812692435459077
Blasphemous Hot Takes,The Traveling Secretaries,1,6,-11,8,7,1,0.37118695863993273,0.4874101225987726
Blasphemous Hot Takes,The Traveling Secretaries,2,5,-4,6,7,-1,0.34012222941520504,0.36700693050040245
The Talmudic Tunnelers,Mt. Everest Taquito Farmers,0,7,0,8,8,0,0.6147303144682605,0.49812692435459077
The Talmudic Tunnelers,Mt. Everest Taquito Farmers,1,6,-3.5,7,5,2,0.6526814276296334,0.6376279862316628
The Talmudic Tunnelers,Mt. Everest Taquito Farmers,2,5,54,3,4,-1,0.8174992728700864,0.8474102857066327
