points,start,relief_start,player,player_id,team_id,game_id,scoring_period_id,matchup_id,lineup_id,in_lineup,pitcher,batter
0,FALSE,FALSE,Mookie Betts,33039,5,1,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Aaron Nola,33709,5,1,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Wander Franco,40929,5,1,1,1,4,TRUE,FALSE,TRUE
0,FALSE,FALSE,Frankie Montas,33249,5,1,1,1,14,TRUE,TRUE,FALSE
8,FALSE,FALSE,Paul Goldschmidt,31027,5,1,1,1,1,TRUE,FALSE,TRUE
0,FALSE,FALSE,Josh Hader,32760,5,1,1,1,15,TRUE,TRUE,FALSE
-0.5,FALSE,FALSE,Daulton Varsho,40963,5,1,1,1,0,TRUE,FALSE,TRUE
0,FALSE,FALSE,Chris Bassitt,33148,5,1,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Cody Bellinger,33912,5,1,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Ty France,35591,5,1,1,1,2,TRUE,FALSE,TRUE
0,FALSE,FALSE,Rhys Hoskins,35291,5,1,1,1,7,TRUE,FALSE,TRUE
0,FALSE,FALSE,Sonny Gray,32082,5,1,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Kenley Jansen,29630,5,1,1,1,15,TRUE,TRUE,FALSE
1.5,FALSE,FALSE,Eddie Rosario,31944,5,1,1,1,5,TRUE,FALSE,TRUE
23.5,TRUE,FALSE,Adam Wainwright,5403,5,1,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Randal Grichuk,31399,5,1,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Jeimer Candelario,32531,5,1,1,1,3,TRUE,FALSE,TRUE
2,FALSE,FALSE,Eduardo Escobar,30272,5,1,1,1,6,TRUE,FALSE,TRUE
7,FALSE,FALSE,Ian Happ,34945,5,1,1,1,5,TRUE,FALSE,TRUE
14,TRUE,FALSE,Kyle Hendricks,33173,5,1,1,1,14,TRUE,TRUE,FALSE
2,FALSE,FALSE,Eric Hosmer,30993,5,1,1,1,12,TRUE,FALSE,TRUE
0,FALSE,FALSE,Drew Rasmussen,42584,5,1,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Yandy Diaz,33481,5,1,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Jose Urquidy,35759,5,1,1,1,16,FALSE,FALSE,FALSE
1.5,FALSE,FALSE,Omar Narvaez,34254,5,1,1,1,16,FALSE,FALSE,FALSE
7.5,TRUE,FALSE,Corbin Burnes,39878,6,2,1,1,14,TRUE,TRUE,FALSE
1,FALSE,FALSE,Manny Machado,31097,6,2,1,1,3,TRUE,FALSE,TRUE
0,FALSE,FALSE,Zack Wheeler,31267,6,2,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Max Muncy,33303,6,2,1,1,2,TRUE,FALSE,TRUE
0,FALSE,FALSE,Corey Seager,32691,6,2,1,1,4,TRUE,FALSE,TRUE
0,FALSE,FALSE,Dylan Cease,34943,6,2,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,J.D. Martinez,31065,6,2,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Brandon Lowe,39961,6,2,1,1,6,TRUE,FALSE,TRUE
0,FALSE,FALSE,Eduardo Rodriguez,32675,6,2,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Josh Donaldson,29563,6,2,1,1,7,TRUE,FALSE,TRUE
0,FALSE,FALSE,Gary Sanchez,31095,6,2,1,1,0,TRUE,FALSE,TRUE
1,FALSE,FALSE,Marcell Ozuna,31668,6,2,1,1,5,TRUE,FALSE,TRUE
4.5,FALSE,FALSE,Mark Canha,31670,6,2,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Alex Wood,32620,6,2,1,1,14,TRUE,TRUE,FALSE
0.5,FALSE,FALSE,Tommy Pham,31208,6,2,1,1,5,TRUE,FALSE,TRUE
1,FALSE,FALSE,Carlos Santana,30280,6,2,1,1,1,TRUE,FALSE,TRUE
0,FALSE,FALSE,Noah Syndergaard,31730,6,2,1,1,14,TRUE,TRUE,FALSE
2.5,FALSE,FALSE,Jeff McNeil,33900,6,2,1,1,5,TRUE,FALSE,TRUE
0,FALSE,FALSE,Jarred Kelenic,41150,6,2,1,1,12,TRUE,FALSE,TRUE
0,FALSE,FALSE,Patrick Sandoval,40975,6,2,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Camilo Doval,41337,6,2,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Jonathan Loaisiga,39807,6,2,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Aaron Hicks,31253,6,2,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Luis Patino,41176,6,2,1,1,16,FALSE,FALSE,FALSE
0,FALSE,FALSE,Rowan Wick,34190,6,2,1,1,15,TRUE,TRUE,FALSE
0,FALSE,FALSE,Brandon Woodruff,37515,11,3,1,1,14,TRUE,TRUE,FALSE
0,FALSE,FALSE,Trea Turner,33710,11,3,1,1,4,TRUE,FALSE,TRUE
0,FALSE,FALSE,Jose Berrios,32811,11,3,1,1,14,TRUE,TRUE,FALSE
