player,player_id,team_id,stint,start,end,team_from,trade_id,transaction_type,n_points,n_games,w_bat,w_sp,w_rp,ppg
Aaron Civale,40934,11,0,1,33,NA,NA,Draft,-3.5,4,0,1,0,-0.875
Aaron Hicks,31253,6,0,1,44,NA,NA,Draft,39.5,28,1,0,0,1.4107142857142858
Aaron Judge,33192,2,0,1,49,NA,NA,Draft,175.5,42,1,0,0,4.178571428571429
Aaron Nola,33709,5,0,1,147,NA,NA,Draft,469.5,25,0,1,0,18.78
Adalberto Mondesi,32821,12,0,1,10,NA,NA,Draft,4,7,1,0,0,0.5714285714285714
Adam Duvall,32664,1,0,1,33,NA,NA,Draft,46,29,1,0,0,1.5862068965517242
Adam Frazier,33546,9,0,1,33,NA,NA,Draft,68.5,29,1,0,0,2.3620689655172415
Adam Wainwright,5403,5,0,1,147,NA,NA,Draft,400,24,0,1,0,16.666666666666668
Adley Rutschman,42178,1,0,1,5,NA,NA,Draft,0,0,NA,NA,NA,0
Adolis Garcia,35537,7,0,1,147,NA,NA,Draft,356,125,1,0,0,2.848
AJ Pollock,30699,9,0,1,20,NA,NA,Draft,5.5,2,1,0,0,2.75
Akil Baddoo,40634,4,0,1,5,NA,NA,Draft,-1,2,1,0,0,-0.5
Alek Manoah,42436,4,0,1,147,NA,NA,Draft,469.5,25,0,1,0,18.78
Alex Bregman,34886,8,0,1,147,NA,NA,Draft,392.5,126,1,0,0,3.115079365079365
Alex Cobb,31086,4,0,1,147,NA,NA,Draft,240.5,17,0,1,0,14.147058823529411
Alex Kirilloff,40636,14,0,1,5,NA,NA,Draft,-1.5,4,1,0,0,-0.375
Alex Verdugo,33786,11,0,1,144,NA,NA,Draft,280.5,114,1,0,0,2.460526315789474
Alex Wood,32620,6,0,1,124,NA,NA,Draft,189.5,16,0,1,0,11.84375
Amed Rosario,33215,8,0,1,147,NA,NA,Draft,290,121,1,0,0,2.396694214876033
Andrew Benintendi,34986,7,0,1,147,NA,NA,Draft,306.5,124,1,0,0,2.471774193548387
Andrew Kittredge,35872,13,0,1,53,NA,NA,Draft,52.5,15,0,0,1,3.5
Andrew McCutchen,28701,12,0,1,55,NA,NA,Draft,59,36,1,0,0,1.6388888888888888
Anthony DeSclafani,33180,7,0,1,19,NA,NA,Draft,2.5,2,0,1,0,1.25
