team,logo,first_team,second_team,third_team,star_points
Blasphemous Hot Takes,https://i.imgur.com/8kDpq7D.png,2,5,2,18
Ketel Bells,https://g.espncdn.com/lm-static/flb/images/default_logos/15.svg,2,4,3,17
Skubal Divers,https://i.imgur.com/TzPHLqL.jpg,3,2,2,15
The Traveling Secretaries,https://i.imgur.com/wll1Ubw.jpg,3,2,1,14
Shrimp Fryed Bryce,https://i.imgur.com/732n2qf.png,3,0,1,10
Mt. Everest Taquito Farmers,https://i.imgur.com/VW41hvO.gif,2,1,2,10
The West Bank Occupiers,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/2000px-Flag_of_Israel.svg.png,2,1,2,10
All That is Wright,https://media1.tenor.com/m/hRchp6kZVHIAAAAC/steve-cohen.gif,1,2,3,10
The Novaks,https://i.imgur.com/DPLqmOq.jpg,1,2,2,9
FVOS Re-imagined,https://g.espncdn.com/lm-static/logo-packs/flb/fake-team-logos-martin-laksman/logos--09.svg,1,1,2,7
The Talmudic Tunnelers,https://64.media.tumblr.com/0a5cf45b1a3869db928255d8982d407f/bb2cb8147657a525-1f/s640x960/bfbb193017d6048f0e1528411316841adb2858a2.jpg,2,0,0,6
Elly De La Snooze,https://imgur.com/d4sbJBf.png,0,2,2,6
