team,logo,first_team,second_team,third_team,star_points
All That is Wright,https://media1.tenor.com/m/hRchp6kZVHIAAAAC/steve-cohen.gif,3,3,3,18
Mt. Everest Taquito Farmers,https://i.imgur.com/VW41hvO.gif,3,3,1,16
The Talmudic Tunnelers,https://64.media.tumblr.com/0a5cf45b1a3869db928255d8982d407f/bb2cb8147657a525-1f/s640x960/bfbb193017d6048f0e1528411316841adb2858a2.jpg,2,3,3,15
The West Bank Occupiers,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d4/Flag_of_Israel.svg/2000px-Flag_of_Israel.svg.png,2,3,1,13
Ketel Bells,https://g.espncdn.com/lm-static/flb/images/default_logos/15.svg,2,1,3,11
At Witt's End,https://g.espncdn.com/lm-static/logo-packs/flb/fake-team-logos-martin-laksman/logos--09.svg,3,0,1,10
Burnes Notice,https://imgur.com/roVSjje.png,2,1,2,10
The Novaks,https://i.imgur.com/DPLqmOq.jpg,1,2,3,10
Blasphemous Hot Takes,https://i.imgur.com/8kDpq7D.png,1,2,2,9
Sac Fly by the Rook,https://g.espncdn.com/lm-static/logo-packs/core/StarsAndFlames/stars_flames-8.svg,2,1,0,8
The Traveling Secretaries,https://i.imgur.com/wll1Ubw.jpg,0,2,3,7
Guts. Glory. JRam.,https://i.imgur.com/L5sud2F.png,1,1,0,5
