team_ix,matchup_id,player,player_id,n_games,n_points,n_qs,team_id
1,1,Austin Hays,36928,NA,19,NA,5
1,1,Ian Happ,34945,NA,31,NA,5
1,1,Jose Ramirez,32801,NA,37.5,NA,5
1,1,Nathan Eovaldi,31174,2,21.5,0,5
1,1,Zac Gallen,39910,2,9,0,5
1,1,Justin Turner,29607,NA,20,NA,5
1,1,Jose Abreu,33095,NA,15,NA,5
1,1,Randy Arozarena,36488,NA,44.5,NA,5
1,1,Luis Garcia,40459,NA,6,NA,5
1,1,Jeff McNeil,33900,NA,19,NA,5
1,1,Corey Seager,32691,NA,18.5,NA,5
1,1,MJ Melendez,40948,NA,11.5,NA,5
1,1,Anthony Santander,36084,NA,13.5,NA,5
1,1,Ross Stripling,32789,1,2.5,0,5
1,1,Yu Darvish,32055,1,10,0,5
1,1,Drew Rasmussen,42584,2,61,2,5
1,1,Camilo Doval,41337,NA,6.5,0,5
1,1,Joey Wendle,33017,NA,0,NA,5
1,1,Jameson Taillon,31258,2,7.5,0,5
1,1,Chris Bassitt,33148,2,0.5,1,5
1,1,Triston Casas,41180,NA,20,NA,5
1,1,Jordan Romano,36380,NA,21.5,0,5
2,1,Rafael Devers,33859,NA,43,NA,8
2,1,Thairo Estrada,36485,NA,25,NA,8
2,1,Felix Bautista,4905859,NA,18.5,0,8
2,1,Emmanuel Clase,41743,NA,11,0,8
2,1,Austin Gomber,34897,1,1.5,0,8
2,1,Adolis Garcia,35537,NA,20.5,NA,8
2,1,Jazz Chisholm Jr.,41433,NA,18.5,NA,8
2,1,Anthony DeSclafani,33180,1,26,1,8
2,1,Seth Brown,35676,NA,15,NA,8
2,1,David Bednar,38303,NA,7,0,8
2,1,Teoscar Hernandez,33377,NA,21,NA,8
2,1,Will Smith,38309,NA,43.5,NA,8
2,1,Aaron Civale,40934,1,4,0,8
2,1,George Kirby,42406,2,20,1,8
2,1,Carlos Carrasco,28968,1,0,0,8
2,1,Reid Detmers,4326697,2,16.5,0,8
2,1,Charlie Blackmon,31084,NA,26.5,NA,8
2,1,Brendan Donovan,41773,NA,21.5,NA,8
2,1,Max Fried,32685,1,6,0,8
2,1,Starling Marte,30830,NA,28,NA,8
2,1,Trea Turner,33710,NA,19,NA,8
2,1,Jesus Luzardo,39667,2,46.5,1,8
2,1,Christian Walker,32758,NA,15,NA,8
2,1,Tyler O'Neill,34168,NA,12.5,NA,8
2,1,Clay Holmes,32827,NA,-1,0,8
2,1,Justin Steele,41022,2,45.5,2,8
3,1,Yoan Moncada,33984,NA,24.5,NA,13
3,1,Joc Pederson,31392,NA,17.5,NA,13
3,1,Tim Anderson,33184,NA,34.5,NA,13
3,1,Ketel Marte,32512,NA,22,NA,13
3,1,Shintaro Fujinami,4142398,2,-13,0,13
3,1,Nick Lodolo,42433,2,45.5,1,13
3,1,Bryan Reynolds,38980,NA,58.5,NA,13
3,1,Ramon Laureano,35142,NA,8,NA,13
3,1,Joey Meneses,34534,NA,9,NA,13
3,1,Alex Bregman,34886,NA,13,NA,13
3,1,Carlos Carrasco,28968,1,-4.5,0,13
3,1,James Karinchak,40715,NA,10,0,13
3,1,Keibert Ruiz,38827,NA,14,NA,13
3,1,Eloy Jimenez,33867,NA,11,NA,13
3,1,Carlos Correa,32653,NA,9,NA,13
3,1,Alex Lange,40976,NA,0,0,13
3,1,Jon Gray,33203,2,31,1,13
3,1,Christian Yelich,31283,NA,23.5,NA,13
3,1,Hunter Greene,39635,2,14,0,13
3,1,Martin Perez,31098,2,21.5,0,13
3,1,Vladimir Guerrero Jr.,35002,NA,44.5,NA,13
3,1,Dylan Floro,33852,NA,12,0,13
3,1,Jacob deGrom,32796,2,30.5,1,13
3,1,Craig Kimbrel,30653,NA,1.5,0,13
3,1,Anthony Rizzo,30782,NA,20,NA,13
4,1,Esteury Ruiz,39680,NA,8.5,NA,4
4,1,Logan Webb,41216,2,19,0,4
4,1,Adley Rutschman,42178,NA,32.5,NA,4
4,1,Brusdar Graterol,40965,NA,2,0,4
4,1,Jeffrey Springs,35397,2,63,2,4
4,1,Jose Leclerc,33926,NA,14.5,0,4
4,1,Adam Frazier,33546,NA,18.5,NA,4
4,1,Ke'Bryan Hayes,35020,NA,10,NA,4
4,1,John Schreiber,39949,NA,19,0,4
4,1,Mookie Betts,33039,NA,30,NA,4
4,1,Marcus Semien,32146,NA,18.5,NA,4
4,1,Max Muncy,33303,NA,12.5,NA,4
4,1,Isaac Paredes,39706,NA,27,NA,4
4,1,Jordan Montgomery,38173,2,36.5,1,4
4,1,Andrew Heaney,32672,1,-12,0,4
4,1,Michael Kopech,33763,1,-4.5,0,4
4,1,Charlie Morton,29155,1,1,0,4
4,1,Zach Eflin,32804,1,15,1,4
4,1,Michael Harris II,42470,NA,9.5,NA,4
4,1,Oscar Gonzalez,39400,NA,5.5,NA,4
4,1,Jose Miranda,41000,NA,11,NA,4
4,1,Grayson Rodriguez,41196,1,11,0,4
4,1,Aaron Nola,33709,2,14.5,1,4
4,1,Paul Goldschmidt,31027,NA,26.5,NA,4
4,1,Trevor Larnach,41205,NA,0,NA,4
4,1,Luis Urias,35383,NA,0,NA,4
4,1,Lane Thomas,36409,NA,6.5,NA,4
4,1,Alex Verdugo,33786,NA,32.5,NA,4
4,1,Kyle Finnegan,36543,NA,-3,0,4
4,1,Amed Rosario,33215,NA,11.5,NA,4
5,1,Ji Hwan Bae,40896,NA,-0.5,NA,2
5,1,Mike Clevinger,32769,1,0,0,2
5,1,Myles Straw,39105,NA,7.5,NA,2
5,1,Pete Fairbanks,42180,NA,5,0,2
5,1,Brandon Crawford,30469,NA,1,NA,2
5,1,Trey Mancini,33351,NA,7.5,NA,2
5,1,Ty France,35591,NA,38.5,NA,2
5,1,Lourdes Gurriel Jr.,36040,NA,0.5,NA,2
5,1,Yandy Diaz,33481,NA,30,NA,2
5,1,Jon Berti,32273,NA,-0.5,NA,2
5,1,Jason Adam,32145,NA,8.5,0,2
5,1,Jonathan India,41171,NA,26,NA,2
5,1,Shohei Ohtani,39832,2,52,2,2
5,1,Spencer Torkelson,4424286,NA,18.5,NA,2
5,1,Brandon Nimmo,32159,NA,24,NA,2
5,1,Alejandro Kirk,42081,NA,9,NA,2
5,1,Wander Franco,40929,NA,45.5,NA,2
5,1,Ryan Helsley,39909,NA,7,0,2
5,1,Framber Valdez,36581,2,35,1,2
5,1,Nick Pivetta,36071,1,14.5,0,2
5,1,Dustin May,40937,2,49.5,2,2
5,1,Eric Lauer,39915,2,7.5,0,2
5,1,Joey Wiemer,4417134,NA,1,NA,2
5,1,Austin Meadows,33197,NA,6.5,NA,2
5,1,Jake McCarthy,41197,NA,18,NA,2
5,1,Shane McClanahan,41199,2,42.5,2,2
5,1,Bryson Stott,42417,NA,2.5,NA,2
5,1,Trent Grisham,34995,NA,0.5,NA,2
5,1,Luis Rengifo,37237,NA,-2,NA,2
5,1,Ezequiel Tovar,4905919,NA,2.5,NA,2
5,1,Seth Lugo,34873,1,18.5,1,2
5,1,Pete Alonso,37498,NA,43.5,NA,2
5,1,Kolten Wong,32061,NA,4,NA,2
5,1,Manuel Margot,33599,NA,20.5,NA,2
6,1,Alek Manoah,42436,2,20.5,1,14
6,1,Josh Bell,32517,NA,7,NA,14
6,1,Gunnar Henderson,42507,NA,12,NA,14
6,1,Vinnie Pasquantino,4109109,NA,22,NA,14
6,1,Steven Kwan,41996,NA,29.5,NA,14
6,1,Bryan De La Cruz,40787,NA,-0.5,NA,14
6,1,Trevor Rogers,39640,2,12.5,0,14
6,1,Kevin Gausman,32667,2,46.5,2,14
6,1,Scott Barlow,32156,NA,6.5,0,14
6,1,Tyler Stephenson,34975,NA,17.5,NA,14
6,1,Andres Gimenez,37729,NA,41,NA,14
6,1,Jose Siri,33954,NA,14.5,NA,14
6,1,CJ Abrams,42402,NA,14,NA,14
6,1,Corbin Carroll,42404,NA,27.5,NA,14
6,1,Oscar Gonzalez,39400,NA,0,NA,14
6,1,Jorge Mateo,33832,NA,16.5,NA,14
6,1,Aaron Judge,33192,NA,40.5,NA,14
6,1,Jose Berrios,32811,2,0.5,0,14
6,1,Jordan Walker,4684778,NA,29.5,NA,14
6,1,Jorge Soler,32558,NA,11.5,NA,14
6,1,Robbie Ray,32175,1,0,0,14
6,1,Brian Anderson,33776,NA,4,NA,14
6,1,Ryan Pressly,33072,NA,10.5,0,14
6,1,David Robertson,29172,NA,13,0,14
6,1,Josh Hader,32760,NA,26,0,14
6,1,German Marquez,34874,2,24,1,14
