game_date,player,player_id,team_id
2025-06-07,Jameson Taillon,31258,12
2025-06-07,Nick Lodolo,42433,6
2025-06-07,Kevin Gausman,32667,6
2025-06-07,Chris Paddack,35999,12
2025-06-07,Yoshinobu Yamamoto,4872587,8
2025-06-07,Jacob deGrom,32796,13
2025-06-07,Ranger Suarez,39817,11
2025-06-07,Logan Webb,41216,12
2025-06-07,Nick Martinez,33372,13
2025-06-07,Hunter Brown,4717803,7
2025-06-07,Gavin Williams,4345076,6
2025-06-07,Michael Wacha,32640,9
2025-06-07,Adrian Houser,32157,6
2025-06-07,Ryan Weathers,41178,4
2025-06-07,Taj Bradley,42480,13
2025-06-07,Garrett Crochet,4297835,6
2025-06-07,Ryan Yarbrough,33735,5
2025-06-07,Luis Castillo,35124,11
2025-06-07,Clay Holmes,32827,4
2025-06-07,Charlie Morton,29155,1
2025-06-07,Luis Severino,33263,2
2025-06-08,Drew Rasmussen,42584,1
2025-06-08,Cristopher Sanchez,42359,7
2025-06-08,Paul Skenes,4719507,13
2025-06-08,Zac Gallen,39910,1
2025-06-08,Cade Horton,4692526,5
2025-06-08,Jack Flaherty,33837,5
2025-06-08,Tanner Bibee,4345278,11
2025-06-08,Joe Ryan,42450,8
2025-06-08,Tomoyuki Sugano,4142423,8
2025-06-08,Spencer Strider,4307825,4
2025-06-08,Landen Roupp,4345404,9
2025-06-08,George Kirby,42406,11
2025-06-08,Tyler Anderson,32151,11
2025-06-08,Carlos Rodon,33696,14
2025-06-09,Dustin May,40937,2
