lineup_id,position,player,player_id,team_id,points,ppg,matchup_id
0,C,Adley Rutschman,42178,9,20,5,1
1,1B,Tyler Soderstrom,4686066,12,21.5,5.375,1
2,2B,Jordan Westburg,4298641,8,21.5,7.166666666666667,1
3,3B,Eugenio Suarez,32367,7,29.5,7.375,1
4,SS,Mookie Betts,33039,11,18,9,1
5,OF,Aaron Judge,33192,2,41.5,13.833333333333334,1
5,OF,Wilyer Abreu,4990055,5,32.5,8.125,1
5,OF,Kyle Tucker,34967,1,25.5,4.25,1
5,OF,Jazz Chisholm Jr.,41433,14,23.5,7.833333333333333,1
5,OF,Fernando Tatis Jr.,35983,12,22.5,5.625,1
6,2B/SS,Oneil Cruz,39712,1,18,4.5,1
7,1B/3B,Josh Naylor,35066,4,17,4.25,1
12,UTIL,Shohei Ohtani,39832,14,28.5,5.7,1
14,SP,Shota Imanaga,5134630,2,36,18,1
14,SP,Logan Gilbert,41221,4,30,30,1
14,SP,Nick Pivetta,36071,4,29,29,1
14,SP,Yoshinobu Yamamoto,4872587,8,28.5,14.25,1
14,SP,Zack Wheeler,31267,1,26,26,1
14,SP,Nathan Eovaldi,31174,13,25,25,1
15,RP,Blake Treinen,32185,12,17,5.666666666666667,1
15,RP,Jason Adam,32145,11,17,5.666666666666667,1
15,RP,Robert Suarez,4148749,14,14.5,7.25,1
0,C,Cal Raleigh,41292,11,23.5,3.9166666666666665,2
1,1B,Pete Alonso,37498,11,38.5,6.416666666666667,2
2,2B,Nico Hoerner,41219,9,30.5,5.083333333333333,2
3,3B,Alex Bregman,34886,13,35.5,5.916666666666667,2
4,SS,Anthony Volpe,42547,5,28.5,4.75,2
5,OF,Kyle Tucker,34967,1,49,8.166666666666666,2
5,OF,Seiya Suzuki,4142424,4,32.5,5.416666666666667,2
5,OF,Mike Trout,30836,6,32,5.333333333333333,2
5,OF,Riley Greene,42179,9,32,5.333333333333333,2
5,OF,Teoscar Hernandez,33377,8,31.5,5.25,2
6,2B/SS,Kristian Campbell,5201569,12,27,4.5,2
7,1B/3B,Rafael Devers,33859,2,35.5,5.916666666666667,2
12,UTIL,Jose Ramirez,32801,9,32.5,5.416666666666667,2
14,SP,Nathan Eovaldi,31174,13,45.5,45.5,2
14,SP,Brady Singer,41172,9,38.5,19.25,2
14,SP,Spencer Schwellenbach,4424862,6,37,37,2
14,SP,Zac Gallen,39910,1,34.5,34.5,2
14,SP,Freddy Peralta,39825,1,33,33,2
14,SP,Garrett Crochet,4297835,6,32.5,32.5,2
15,RP,Ryan Walker,5000950,5,19.5,4.875,2
15,RP,Mason Miller,4730225,1,18,6,2
15,RP,Josh Hader,32760,14,16,8,2
0,C,William Contreras,39895,6,36,6,3
1,1B,Spencer Torkelson,4424286,1,27,4.5,3
2,2B,Ozzie Albies,33783,8,23,3.8333333333333335,3
3,3B,Isaac Paredes,39706,6,27.5,4.583333333333333,3
4,SS,Xavier Edwards,41326,13,23.5,3.9166666666666665,3
5,OF,James Wood,4918256,11,41.5,6.916666666666667,3
5,OF,Jung Hoo Lee,5134621,13,38,6.333333333333333,3
5,OF,Jackson Chourio,4917869,1,32,5.333333333333333,3
5,OF,Taylor Ward,34923,11,32,5.333333333333333,3
5,OF,Corbin Carroll,42404,8,31,5.166666666666667,3
6,2B/SS,Geraldo Perdomo,41355,5,23,3.8333333333333335,3
7,1B/3B,Manny Machado,31097,5,25,4.166666666666667,3
12,UTIL,Pete Crow-Armstrong,4717833,4,27,4.5,3
14,SP,Hunter Greene,39635,4,64.5,32.25,3
14,SP,Cole Ragans,41054,9,59.5,29.75,3
14,SP,Michael King,40429,14,51.5,25.75,3
14,SP,Garrett Crochet,4297835,6,47.5,23.75,3
14,SP,Logan Webb,41216,12,39,19.5,3
14,SP,Kodai Senga,4142421,12,38,19,3
15,RP,Andres Munoz,40939,2,23,5.75,3
15,RP,Jeff Hoffman,33841,4,21.5,7.166666666666667,3
15,RP,Robert Suarez,4148749,14,18.5,6.166666666666667,3
0,C,Cal Raleigh,41292,11,34.5,5.75,4
1,1B,Bryce Harper,30951,9,42,6,4
2,2B,Dylan Moore,40593,11,29.5,4.916666666666667,4
3,3B,Matt Chapman,33857,1,31.5,4.5,4
4,SS,Oneil Cruz,39712,1,27.5,3.928571428571429,4
5,OF,Fernando Tatis Jr.,35983,12,44,7.333333333333333,4
5,OF,Dylan Crews,4719511,8,29.5,4.214285714285714,4
5,OF,Cedric Mullins,35578,13,29,4.833333333333333,4
5,OF,Corbin Carroll,42404,8,29,4.833333333333333,4
5,OF,Steven Kwan,41996,5,27,4.5,4
6,2B/SS,Brendan Donovan,41773,7,25.5,3.642857142857143,4
7,1B/3B,Pete Alonso,37498,11,34.5,4.928571428571429,4
12,UTIL,Josh Naylor,35066,4,30,5,4
14,SP,Max Fried,32685,9,49.5,24.75,4
14,SP,Merrill Kelly,32968,12,44,22,4
14,SP,Paul Skenes,4719507,13,43,21.5,4
14,SP,Sonny Gray,32082,2,42.5,21.25,4
14,SP,Tarik Skubal,42409,5,38.5,19.25,4
14,SP,Yusei Kikuchi,41415,14,38,19,4
15,RP,Luke Weaver,33770,6,26.5,6.625,4
15,RP,Tanner Scott,35135,12,22,5.5,4
15,RP,Edwin Diaz,35394,8,20,6.666666666666667,4
0,C,Sean Murphy,33557,12,23.5,5.875,5
1,1B,Spencer Steer,4722857,7,21.5,4.3,5
2,2B,Jorge Polanco,32525,9,36.5,7.3,5
3,3B,Eugenio Suarez,32367,7,34.5,5.75,5
4,SS,Oneil Cruz,39712,1,30,5,5
5,OF,Teoscar Hernandez,33377,8,32.5,6.5,5
5,OF,Pete Crow-Armstrong,4717833,4,31.5,6.3,5
5,OF,Corbin Carroll,42404,8,30.5,5.083333333333333,5
5,OF,Jarren Duran,41610,6,30,4.285714285714286,5
5,OF,Austin Hays,36928,11,28.5,5.7,5
6,2B/SS,Francisco Lindor,32129,5,27,4.5,5
7,1B/3B,Alex Bregman,34886,13,32,4.571428571428571,5
12,UTIL,Lars Nootbaar,4448736,13,27.5,4.583333333333333,5
14,SP,Hunter Brown,4717803,7,55,27.5,5
14,SP,Nick Lodolo,42433,6,38.5,19.25,5
14,SP,Brandon Pfaadt,4721302,9,37,18.5,5
14,SP,Aaron Nola,33709,5,35.5,17.75,5
14,SP,Spencer Schwellenbach,4424862,6,34.5,17.25,5
14,SP,Robbie Ray,32175,14,34,17,5
15,RP,Hayden Birdsong,5197166,12,22,11,5
15,RP,Andres Munoz,40939,2,21.5,7.166666666666667,5
15,RP,Cade Smith,4987924,12,18.5,6.166666666666667,5
0,C,Hunter Goodman,4416591,6,7,7,6
1,1B,Ryan O'Hearn,35183,7,7.5,7.5,6
2,2B,Jose Altuve,31662,1,9,9,6
3,3B,Mark Vientos,41034,8,13.5,13.5,6
4,SS,Jeremy Pena,41273,1,4.5,4.5,6
5,OF,Brandon Nimmo,32159,6,24,24,6
5,OF,Riley Greene,42179,9,13,13,6
5,OF,Gavin Lux,40423,5,7,7,6
5,OF,Kerry Carpenter,42714,9,7,7,6
5,OF,James Wood,4918256,11,6.5,6.5,6
6,2B/SS,Anthony Volpe,42547,5,3.5,3.5,6
7,1B/3B,Noelvi Marte,41307,2,6,6,6
12,UTIL,Michael Harris II,42470,6,6,6,6
14,SP,Bailey Ober,3107919,6,20,20,6
14,SP,Dustin May,40937,2,6.5,6.5,6
14,SP,Jack Flaherty,33837,5,4,4,6
14,SP,Gavin Williams,4345076,6,-8,-8,6
14,SP,NA,NA,NA,NA,NA,6
14,SP,NA,NA,NA,NA,NA,6
15,RP,Felix Bautista,4905859,5,8,8,6
15,RP,Josh Hader,32760,14,7,7,6
15,RP,Mason Miller,4730225,1,6.5,6.5,6
