lineup_id,position,player,player_id,team_id,points,ppg,matchup_id
0,C,Will Smith,38309,8,42.5,6.071428571428571,1
1,1B,Matt Olson,32767,12,44,4.888888888888889,1
2,2B,Gleyber Torres,33804,9,39,4.875,1
3,3B,Rafael Devers,33859,8,42,4.666666666666667,1
4,SS,Wander Franco,40929,2,40.5,5.0625,1
5,OF,Adam Duvall,32664,9,60.5,7.5625,1
5,OF,Bryan Reynolds,38980,13,58,7.25,1
5,OF,Mike Trout,30836,1,44,5.5,1
5,OF,Luis Robert Jr.,39631,12,41.5,4.611111111111111,1
5,OF,Randy Arozarena,36488,5,41,5.125,1
6,2B/SS,Xander Bogaerts,31606,6,39.5,4.388888888888889,1
7,1B/3B,Pete Alonso,37498,2,43.5,4.833333333333333,1
12,UTIL,Yordan Alvarez,36018,7,41,5.125,1
14,SP,Jeffrey Springs,35397,4,63,31.5,1
14,SP,Gerrit Cole,32081,12,56.5,28.25,1
14,SP,Shohei Ohtani,39832,2,52,26,1
14,SP,Sandy Alcantara,35241,9,51.5,25.75,1
14,SP,Marcus Stroman,32815,9,51,25.5,1
14,SP,Dustin May,40937,2,49.5,24.75,1
15,RP,Jordan Romano,36380,5,27,6.75,1
15,RP,Josh Hader,32760,14,26,6.5,1
15,RP,Jorge Lopez,33833,1,25,5,1
