team_id,total_points,batting_points,pitching_points,team,matchup_id,game_id,rp_points,sp_points,adj_pts,adj_batting_pts,adj_pitching_pts,adj_sp_pts,adj_rp_pts,team_id_opp,total_points_opp,batting_points_opp,pitching_points_opp,team_opp,rp_points_opp,sp_points_opp,adj_pts_opp,adj_batting_pts_opp,adj_pitching_pts_opp,adj_sp_pts_opp,adj_rp_pts_opp,overall_rank,batting_rank,pitching_rank
1,223,141.5,81.5,The Talmudic Tunnelers,1,1,13.5,68,312.2,198.1,114.1,95.2,18.9,4,252,150,102,All That is Wright,6,96,352.8,210,142.8,134.4,8.4,5,5,5
2,182.5,113,69.5,Skubal Divers,1,2,16,53.5,255.5,158.2,97.3,74.9,22.4,12,213.5,131,82.5,Blasphemous Hot Takes,30.5,52,298.9,183.4,115.5,72.8,42.7,9,10,9
8,245,168.5,76.5,Mt. Everest Taquito Farmers,1,3,12.5,64,343,235.9,107.1,89.6,17.5,6,274,150.5,123.5,The Novaks,18.5,105,383.6,210.7,172.9,147,25.9,3,1,8
11,227,142.5,84.5,The West Bank Occupiers,1,4,-3,87.5,317.8,199.5,118.3,122.5,-4.2,5,148.5,97.5,51,The Traveling Secretaries,9,42,207.9,136.5,71.4,58.8,12.6,4,4,3
14,208.5,127.5,81,Elly De La Snooze,1,5,13,68,291.9,178.5,113.4,95.2,18.2,9,206,127.5,78.5,Shrimp Fried Bryce,12,66.5,288.4,178.5,109.9,93.1,16.8,7,8.5,6
13,143,104,39,Ketel Bells,1,6,21,18,200.2,145.6,54.6,25.2,29.4,7,170.5,138.5,32,FVOS Re-imagined,-7,39,238.7,193.9,44.8,54.6,-9.8,12,11,11
4,349.5,182,167.5,All That is Wright,2,7,25,142.5,349.5,182,167.5,142.5,25,12,338.5,156.5,182,Blasphemous Hot Takes,31.5,150.5,338.5,156.5,182,150.5,31.5,1,4,3
6,308,223,85,The Novaks,2,8,10,75,308,223,85,75,10,1,339.5,166.5,173,The Talmudic Tunnelers,27,146,339.5,166.5,173,146,27,7,1,10
5,206,148,58,The Traveling Secretaries,2,9,25.5,32.5,206,148,58,32.5,25.5,2,313.5,149,164.5,Skubal Divers,18.5,146,313.5,149,164.5,146,18.5,12,10,12
9,292,173,119,Shrimp Fried Bryce,2,10,13.5,105.5,292,173,119,105.5,13.5,8,291,137,154,Mt. Everest Taquito Farmers,34.5,119.5,291,137,154,119.5,34.5,8,5,8
7,267,135.5,131.5,FVOS Re-imagined,2,11,14.5,117,267,135.5,131.5,117,14.5,11,329,205.5,123.5,The West Bank Occupiers,25.5,98,329,205.5,123.5,98,25.5,10,12,6
13,320,207,113,Ketel Bells,2,12,36.5,76.5,320,207,113,76.5,36.5,14,240,166.5,73.5,Elly De La Snooze,19.5,54,240,166.5,73.5,54,19.5,5,2,9
6,291,160.5,130.5,The Novaks,3,13,21.5,109,291,160.5,130.5,109,21.5,4,352.5,228.5,124,All That is Wright,29,95,352.5,228.5,124,95,29,11,10.5,6
12,366.5,225.5,141,Blasphemous Hot Takes,3,14,29,112,366.5,225.5,141,112,29,5,369.5,210.5,159,The Traveling Secretaries,41.5,117.5,369.5,210.5,159,117.5,41.5,4,5,4
1,299.5,204.5,95,The Talmudic Tunnelers,3,15,-3.5,98.5,299.5,204.5,95,98.5,-3.5,9,235,152.5,82.5,Shrimp Fried Bryce,19,63.5,235,152.5,82.5,63.5,19,10,8,11
2,376.5,221,155.5,Skubal Divers,3,16,54.5,101,376.5,221,155.5,101,54.5,7,320,160.5,159.5,FVOS Re-imagined,9.5,150,320,160.5,159.5,150,9.5,2,6,3
