points,played,start,relief,relief_start,qs,save,home_runs,blue_balls,hr_allowed,p_walks,p_ibb,p_hbp,p_outs,p_er,p_win,p_lose,p_blsv,p_hold,p_k,p_cg,h_1b,h_2b,h_3b,b_ab,b_pa,b_walks,b_hpb,b_ibb,b_sf,b_runs,b_rbi,b_k,p_loss,player,player_id,team_id,game_id,scoring_period_id,matchup_id,eligible_slots,lineup_id,in_lineup,pitcher,batter,season,playoffs
4,1,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,5,1,0,0,0,0,1,0,NA,Mookie Betts,33039,1,1,1,1,2/6/19/10/5/12/16/17/4,2,TRUE,FALSE,TRUE,2024,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Julio Rodriguez,41044,1,1,1,1,9/5/12/16/17,5,TRUE,FALSE,TRUE,2024,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,Yoshinobu Yamamoto,4872587,1,1,1,1,13/14/16/17,14,TRUE,TRUE,FALSE,2024,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Francisco Lindor,32129,1,1,1,1,4/6/19/12/16/17,4,TRUE,FALSE,TRUE,2024,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Blake Snell,33748,1,1,1,1,13/14/16/17,14,TRUE,TRUE,FALSE,2024,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Nolan Arenado,31261,1,1,1,1,3/7/19/12/16/17,3,TRUE,FALSE,TRUE,2024,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Carlos Rodon,33696,1,1,1,1,13/14/16/17,14,TRUE,TRUE,FALSE,2024,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cedric Mullins,35578,1,1,1,1,9/5/12/16/17,5,TRUE,FALSE,TRUE,2024,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Cristian Javier,41261,1,1,1,1,13/14/16/17,14,TRUE,TRUE,FALSE,2024,FALSE
0,0,FALSE,FALSE,FALSE,FALSE,FALSE,0,FALSE,0,0,0,0,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Rhys Hoskins,35291,1,1,1,1,1/7/19/12/16/17,1,TRUE,FALSE,TRUE,2024,FALSE
